text,aspect,label
"Le concert était incroyable, le son était propre et le public à fond, mais c'était interminable et il faisait trop chaud.","ambiance","positive"
"Le concert était incroyable, le son était propre et le public à fond, mais c'était interminable et il faisait trop chaud.","durée","negative"
"Le resto est hyper sympa, la déco est stylée et le personnel adorable, par contre les portions sont minuscules et l’addition fait mal.","service","positive"
"Le resto est hyper sympa, la déco est stylée et le personnel adorable, par contre les portions sont minuscules et l’addition fait mal.","prix","negative"
"J’ai adoré le cours, le prof explique bien et les exemples sont clairs, mais c’est beaucoup trop dense.","pédagogie","positive"
"J’ai adoré le cours, le prof explique bien et les exemples sont clairs, mais c’est beaucoup trop dense.","charge","negative"
"Le voyage était génial, paysages magnifiques et gens accueillants, mais les transports étaient une galère.","paysages","positive"
"Le voyage était génial, paysages magnifiques et gens accueillants, mais les transports étaient une galère.","transports","negative"
"La soirée était cool, bonne musique et ambiance détendue, sauf que c’était mal organisé.","musique","positive"
"La soirée était cool, bonne musique et ambiance détendue, sauf que c’était mal organisé.","organisation","negative"
"Le projet est intéressant et le sujet pertinent, mais les consignes sont floues.","contenu","positive"
"Le projet est intéressant et le sujet pertinent, mais les consignes sont floues.","consignes","negative"
"J’aime bien l’appli, l’interface est propre et intuitive, mais elle bug tout le temps.","interface","positive"
"J’aime bien l’appli, l’interface est propre et intuitive, mais elle bug tout le temps.","stabilité","negative"
"Le film est prenant, l’histoire est touchante, mais la fin est bâclée.","scénario","positive"
"Le film est prenant, l’histoire est touchante, mais la fin est bâclée.","fin","negative"
"Le boulot est intéressant, j’apprends beaucoup et l’équipe est sympa, mais la pression est constante.","équipe","positive"
"Le boulot est intéressant, j’apprends beaucoup et l’équipe est sympa, mais la pression est constante.","pression","negative"
"Le quartier est agréable, calme et bien desservi, mais les loyers sont abusés.","cadre de vie","positive"
"Le quartier est agréable, calme et bien desservi, mais les loyers sont abusés.","loyer","negative"
"La formation est bien construite et tu montes vite en compétences, sauf que c’est trop théorique.","structure","positive"
"La formation est bien construite et tu montes vite en compétences, sauf que c’est trop théorique.","pratique","negative"
"Le café est bon et l’endroit cosy, mais c’est blindé et le service est lent.","qualité","positive"
"Le café est bon et l’endroit cosy, mais c’est blindé et le service est lent.","service","negative"
"Le jeu est addictif, le gameplay fluide, mais trop de micro-transactions.","gameplay","positive"
"Le jeu est addictif, le gameplay fluide, mais trop de micro-transactions.","monétisation","negative"
"Le stage est formateur et tu touches à des dossiers concrets, par contre l’encadrement est faible.","apprentissage","positive"
"Le stage est formateur et tu touches à des dossiers concrets, par contre l’encadrement est faible.","encadrement","negative"
"La ville est superbe et culturellement riche, mais c’est cher et bondé de touristes.","culture","positive"
"La ville est superbe et culturellement riche, mais c’est cher et bondé de touristes.","coût de la vie","negative"
"Le débat était intéressant et faisait réfléchir, mais ça tournait en rond.","qualité des échanges","positive"
"Le débat était intéressant et faisait réfléchir, mais ça tournait en rond.","dynamique","negative"
"Le produit est bien pensé et répond à un vrai besoin, sauf que la prise en main est compliquée.","fonctionnalités","positive"
"Le produit est bien pensé et répond à un vrai besoin, sauf que la prise en main est compliquée.","ergonomie","negative"
"Le prof est passionnant et on ne s’ennuie pas, mais les contrôles sont incohérents.","enseignement","positive"
"Le prof est passionnant et on ne s’ennuie pas, mais les contrôles sont incohérents.","évaluation","negative"
"La réunion était efficace et on est sortis avec un plan, mais c’était trop long.","décisions","positive"
"La réunion était efficace et on est sortis avec un plan, mais c’était trop long.","durée","negative"
"Le service est rapide et les démarches simples, mais le contact est froid.","rapidité","positive"
"Le service est rapide et les démarches simples, mais le contact est froid.","relation client","negative"
"Le livre est bien écrit avec des idées brillantes, mais il y a des longueurs.","style","positive"
"Le livre est bien écrit avec des idées brillantes, mais il y a des longueurs.","rythme","negative"
"L’événement est riche avec des intervenants intéressants, mais l’organisation est bancale.","contenu","positive"
"L’événement est riche avec des intervenants intéressants, mais l’organisation est bancale.","organisation","negative"
"Le logiciel est puissant et très complet, mais lent au démarrage.","fonctionnalités","positive"
"Le logiciel est puissant et très complet, mais lent au démarrage.","performance","negative"
