date,region,produit,canal,visites,ventes,cout,profit,quantite,remise,satisfaction,temperature,commentaire
2025-01-01,Nord,Alpha,Web,791,1339.26,825.21,514.04,15,0.057,3,12.60,""
2025-01-02,Sud,Delta,Magasin,882,3804.81,2290.99,1513.81,27,0.098,4,10.38,"Packaging abîmé"
2025-01-03,Ouest,Gamma,Partenaire,1035,2203.61,1459.11,744.50,21,0.119,5,11.93,"Bon rapport qualité/prix"
2025-01-04,Est,Beta,Web,889,1172.88,731.77,441.11,18,0.080,4,12.17,"Très satisfait"
2025-01-05,Nord,Alpha,Magasin,818,1812.13,1129.74,682.39,20,0.047,4,13.84,"Bon rapport qualité/prix"
2025-01-06,Sud,Delta,Partenaire,728,1564.97,1025.46,539.51,11,0.041,3,10.25,"Bon rapport qualité/prix"
2025-01-07,Ouest,Gamma,Web,730,1256.95,748.64,508.31,12,0.071,,11.65,"Livraison rapide"
2025-01-08,Est,Beta,Magasin,728,1290.58,890.04,400.54,19,0.056,4,12.11,"Packaging abîmé"
2025-01-09,Nord,Alpha,Partenaire,887,1507.08,929.60,577.48,18,0.125,4,14.83,"RAS"
2025-01-10,Sud,Delta,Web,924,2367.32,1436.40,930.92,18,0.132,4,15.84,""
2025-01-11,Ouest,Gamma,Magasin,973,3294.77,2200.22,1094.55,28,0.081,4,12.78,"Très satisfait"
2025-01-12,Est,Beta,Partenaire,733,805.24,500.04,305.20,12,0.066,3,9.16,"Service correct"
2025-01-13,Nord,Alpha,Web,659,804.64,488.81,315.83,9,0.050,4,17.95,"Livraison rapide"
2025-01-14,Sud,Delta,Magasin,729,2734.43,1681.65,1052.78,19,0.068,4,15.55,"Moyen"
2025-01-15,Ouest,Gamma,Partenaire,844,1767.30,1137.38,629.91,15,0.033,4,13.04,"Moyen"
2025-01-16,Est,Beta,Web,951,1115.91,719.45,396.46,18,0.115,4,14.47,"Packaging abîmé"
2025-01-17,Nord,Alpha,Magasin,994,2694.83,1662.54,1032.29,31,0.130,4,14.56,"Bon rapport qualité/prix"
2025-01-18,Sud,Delta,Partenaire,913,2539.82,1528.49,1011.33,18,0.081,5,18.00,"Moyen"
2025-01-19,Ouest,Gamma,Web,773,1664.11,1000.44,663.67,14,0.058,4,15.44,""
